Date,Day,Month,Year,dayName,dayOfWeek,Open_BA,High_BA,Low_BA,Close_BA,Adj_Close_BA,Volume_BA,Open_AIR,High_AIR,Low_AIR,Close_AIR,Adj_Close_AIR,Volume_AIR
2018-01-02,2,1,2018,Tuesday,2,295.75,296.98999,295.399994,296.839996,282.886383,2978900,83.029999,83.480003,82.220001,82.75,75.543617,1372454
2018-01-03,3,1,2018,Wednesday,3,295.940002,298.5,295.470001,297.799988,283.8013,3211200,83.0,84.650002,82.860001,84.120003,76.794312,1623702
2018-01-04,4,1,2018,Thursday,4,297.940002,298.420013,295.470001,296.670013,282.724396,4171700,84.190002,86.089996,84.190002,85.82,78.34626,1796349
2018-01-05,5,1,2018,Friday,5,296.769989,308.890015,296.720001,308.839996,294.322327,6177700,86.230003,86.230003,84.419998,85.599998,78.145424,1689901
2018-01-08,8,1,2018,Monday,1,308.660004,310.859985,305.75,310.149994,295.57077,4124900,85.830002,86.620003,85.800003,86.620003,79.076591,1330866
2018-01-09,9,1,2018,Tuesday,2,310.589996,319.910004,310.48999,318.429993,303.461487,5641300,86.309998,87.25,86.309998,86.879997,79.31395,1117093
2018-01-10,10,1,2018,Wednesday,3,317.48999,322.149994,315.5,320.26001,305.205536,4479300,86.849998,90.279999,86.529999,90.269997,82.408722,2630181
2018-01-11,11,1,2018,Thursday,4,322.130005,328.399994,321.190002,328.119995,312.696014,4635300,90.410004,91.900002,89.910004,90.019997,82.180496,2816239
2018-01-12,12,1,2018,Friday,5,330.380005,336.880005,330.380005,336.209991,320.405731,6559300,90.410004,90.75,89.900002,90.400002,82.527412,1301019
2018-01-16,16,1,2018,Tuesday,2,339.899994,347.730011,331.329987,335.160004,319.40506,12305500,89.900002,90.269997,89.650002,89.970001,82.134857,1621132
2018-01-17,17,1,2018,Wednesday,3,337.730011,352.230011,336.410004,351.01001,334.51004,9699900,89.370003,90.300003,89.25,89.739998,81.924881,1287333
2018-01-18,18,1,2018,Thursday,4,350.700012,350.829987,339.149994,340.160004,324.170074,9458600,90.489998,92.559998,90.019997,90.400002,82.527412,2656032
2018-01-19,19,1,2018,Friday,5,341.670013,344.0,335.75,337.730011,321.854248,7264400,90.940002,92.879997,90.870003,92.790001,84.709267,2523329
2018-01-22,22,1,2018,Monday,1,335.290009,341.380005,332.040009,338.0,322.111603,6792900,93.0,93.519997,92.610001,93.25,85.129211,1866217
2018-01-23,23,1,2018,Tuesday,2,338.339996,338.940002,334.809998,335.589996,319.81488,4537800,94.0,94.0,91.739998,92.099998,84.079361,1848638
2018-01-24,24,1,2018,Wednesday,3,336.200012,338.98999,334.140015,334.690002,318.957184,4205400,92.059998,92.339996,90.480003,90.5,82.618706,1770657
2018-01-25,25,1,2018,Thursday,4,336.209991,343.619995,335.299988,343.109985,326.981354,4747500,90.5,90.790001,87.279999,88.0,80.336411,2766900
2018-01-26,26,1,2018,Friday,5,344.329987,345.980011,341.25,343.220001,327.086212,5236300,88.260002,89.760002,88.07,89.559998,81.760567,1688553
2018-01-29,29,1,2018,Monday,1,341.230011,344.480011,340.100006,340.820007,324.799042,3324900,90.5,90.839996,89.639999,90.419998,82.545662,1589726
2018-01-30,30,1,2018,Tuesday,2,339.170013,339.980011,334.160004,337.709991,321.835175,4983100,90.120003,90.919998,89.330002,89.800003,81.97966,1353425
2018-01-31,31,1,2018,Wednesday,3,360.5,360.970001,351.619995,354.369995,337.712128,11409600,90.010002,92.769997,90.0,92.5,84.444534,2051737
2018-02-01,1,2,2018,Thursday,4,352.950012,361.450012,352.040009,356.940002,340.161316,6067600,93.099998,93.199997,90.730003,91.169998,83.230354,1963564
2018-02-02,2,2,2018,Friday,5,354.0,355.200012,348.700012,348.910004,332.508728,5486100,89.360001,90.279999,87.129997,87.970001,80.309021,2700960
2018-02-05,5,2,2018,Monday,1,342.670013,350.0,317.390015,328.880005,313.420258,10511300,87.190002,87.190002,85.32,86.599998,79.058334,2275453
2018-02-06,6,2,2018,Tuesday,2,320.0,341.670013,317.649994,340.910004,324.884827,11935100,83.519997,87.139999,82.050003,85.010002,77.606804,4166870
2018-02-07,7,2,2018,Wednesday,3,340.519989,353.589996,339.869995,348.119995,331.75589,7946700,86.059998,88.459999,85.110001,88.400002,80.701576,2662190
2018-02-08,8,2,2018,Thursday,4,348.0,349.0,329.399994,329.660004,315.714447,8295900,87.769997,88.059998,85.230003,85.510002,78.063255,2627891
2018-02-09,9,2,2018,Friday,5,333.549988,337.809998,319.25,332.829987,318.750336,8833000,84.910004,85.440002,82.019997,83.540001,76.264824,3554261
2018-02-12,12,2,2018,Monday,1,336.570007,347.75,335.130005,343.799988,329.256226,6885000,84.0,84.0,82.169998,82.519997,75.333656,2890116
2018-02-13,13,2,2018,Tuesday,2,340.450012,347.880005,340.290009,343.160004,328.643372,4030200,82.519997,84.010002,82.459999,83.150002,75.908791,2150253
