Date,Day,Month,Year,dayName,dayOfWeek,Open_BA,High_BA,Low_BA,Close_BA,Adj_Close_BA,Volume_BA,Open_AIR,High_AIR,Low_AIR,Close_AIR,Adj_Close_AIR,Volume_AIR,Performance_BA,Performance_AIR,Event
2018-10-01,1,10,2018,Monday,1,375.160004,383.209991,375.0,382.290009,369.762512,4755700,108.68,108.739998,107.099998,107.400002,99.681061,824742,1,0,0
2018-10-02,2,10,2018,Tuesday,2,380.850006,388.619995,379.769989,386.369995,373.708771,4622600,106.300003,106.400002,105.400002,105.68,98.084671,1403390,1,0,0
2018-10-03,3,10,2018,Wednesday,3,388.899994,394.279999,386.690002,392.299988,379.444458,4794300,106.239998,107.339996,105.839996,107.059998,99.365494,1167252,1,1,0
2018-10-04,4,10,2018,Thursday,4,390.73999,391.089996,385.290009,389.98999,377.210175,3822300,106.739998,106.739998,104.559998,105.260002,97.694862,1429096,0,0,0
2018-10-05,5,10,2018,Friday,5,389.0,392.390015,383.029999,386.470001,373.805511,2899700,105.599998,106.300003,104.0,104.0,96.525414,1067060,0,0,0
2018-10-08,8,10,2018,Monday,1,383.839996,386.730011,377.350006,385.769989,373.128448,3324000,104.339996,105.959999,102.160004,103.620003,96.172729,1659963,1,0,0
2018-10-09,9,10,2018,Tuesday,2,384.369995,386.820007,381.140015,385.440002,372.809265,2862700,103.760002,104.379997,101.040001,102.5,95.133224,1306812,1,0,0
2018-10-10,10,10,2018,Wednesday,3,382.959991,383.799988,367.089996,367.470001,355.428131,6033100,102.699997,103.099998,98.900002,98.989998,91.875488,1831247,0,0,0
2018-10-11,11,10,2018,Thursday,4,363.440002,369.850006,355.100006,358.109985,346.374847,6266800,97.019997,99.510002,93.589996,97.330002,90.334793,3507915,0,1,0
2018-10-12,12,10,2018,Friday,5,366.01001,367.119995,352.26001,360.109985,348.309357,5509700,99.0,101.440002,98.010002,100.260002,93.054214,2510746,0,1,0
2018-10-15,15,10,2018,Monday,1,359.459991,362.549988,355.5,358.880005,347.119659,2979800,99.139999,100.220001,97.809998,97.809998,90.780289,1822785,0,0,0
2018-10-16,16,10,2018,Tuesday,2,360.450012,368.570007,358.549988,368.25,356.182556,2822500,97.800003,101.720001,97.550003,101.720001,94.409286,1877647,1,1,0
2018-10-17,17,10,2018,Wednesday,3,368.0,368.5,362.700012,365.5,353.522705,2238200,102.239998,102.620003,100.18,100.860001,93.611092,1286634,0,0,0
2018-10-18,18,10,2018,Thursday,4,364.820007,367.76001,356.76001,359.350006,347.574249,3254900,100.279999,101.519997,98.779999,99.309998,92.172485,1630849,0,0,0
2018-10-19,19,10,2018,Friday,5,359.799988,359.869995,354.209991,356.26001,344.58548,3491600,99.790001,101.440002,97.050003,97.949997,90.910233,2488856,0,0,0
2018-10-22,22,10,2018,Monday,1,357.850006,358.76001,352.459991,355.980011,344.314667,2263500,98.339996,98.879997,96.309998,96.309998,89.388107,1441080,0,0,0
2018-10-23,23,10,2018,Tuesday,2,349.5,353.559998,342.829987,350.049988,338.578979,4389600,96.5,96.5,94.099998,94.139999,87.374062,2542403,1,0,0
2018-10-24,24,10,2018,Wednesday,3,361.589996,364.600006,351.690002,354.649994,343.028229,8442600,95.260002,96.949997,93.510002,95.309998,88.459969,2651513,0,1,0
2018-10-25,25,10,2018,Thursday,4,357.299988,364.390015,354.970001,363.769989,351.849365,4003500,95.019997,98.300003,94.75,97.940002,90.900955,2271247,1,1,0
2018-10-26,26,10,2018,Friday,5,360.700012,363.299988,354.119995,359.269989,347.496826,4073000,96.879997,96.879997,91.519997,96.150002,89.239609,3184210,0,0,0
2018-10-29,29,10,2018,Monday,1,360.549988,361.709991,328.630005,335.589996,324.592834,7462000,95.389999,99.889999,94.75,95.830002,88.942612,1467805,0,1,0
2018-10-30,30,10,2018,Tuesday,2,330.350006,351.049988,329.769989,349.910004,338.443573,5774000,96.480003,97.080002,92.239998,93.900002,87.151314,2644992,1,0,0
2018-10-31,31,10,2018,Wednesday,3,352.51001,363.410004,352.51001,354.859985,343.231323,4175600,96.25,99.769997,93.019997,97.709999,90.687485,3915169,1,1,0
2018-11-01,1,11,2018,Thursday,4,357.470001,364.570007,353.200012,363.070007,351.172363,3760700,97.639999,98.230003,96.0,96.5,89.564453,1878563,1,0,0
2018-11-02,2,11,2018,Friday,5,366.970001,371.540009,356.76001,357.75,346.026703,4029800,97.290001,98.769997,95.389999,95.610001,88.738419,1694118,0,0,0
2018-11-05,5,11,2018,Monday,1,359.76001,363.290009,356.480011,361.980011,350.118042,2253900,96.010002,96.400002,94.739998,95.379997,88.52494,1217718,1,0,0
2018-11-06,6,11,2018,Tuesday,2,362.410004,368.440002,362.109985,366.470001,354.460938,2471900,96.0,96.989998,95.559998,95.849998,88.961166,1340977,1,0,0
2018-11-07,7,11,2018,Wednesday,3,367.640015,372.850006,359.5,372.019989,359.829041,4015300,96.400002,97.129997,95.449997,96.089996,89.183907,1152082,1,0,0
2018-11-08,8,11,2018,Thursday,4,369.329987,373.700012,365.549988,370.769989,360.276001,2751800,96.089996,96.839996,95.400002,95.650002,88.775536,1182886,1,0,0
2018-11-09,9,11,2018,Friday,5,367.829987,371.0,366.119995,369.339996,358.886475,2590300,95.449997,95.510002,94.019997,94.68,87.875252,1236728,1,0,0
2018-11-12,12,11,2018,Monday,1,370.209991,370.480011,355.98999,357.029999,346.924927,3088700,94.900002,95.660004,94.209999,94.389999,87.606102,973198,0,0,0
2018-11-13,13,11,2018,Tuesday,2,349.549988,355.380005,342.040009,349.51001,339.617706,4960000,94.57,96.849998,94.550003,96.419998,89.490196,1377906,0,1,0
2018-11-14,14,11,2018,Wednesday,3,352.089996,355.850006,343.890015,344.720001,334.963318,3445800,95.879997,97.190002,94.040001,95.529999,88.664162,1460615,0,0,0
2018-11-15,15,11,2018,Thursday,4,341.119995,347.980011,336.51001,341.570007,331.902466,4863000,96.360001,96.489998,93.269997,93.860001,87.114189,1396280,1,0,0
2018-11-16,16,11,2018,Friday,5,339.0,340.190002,331.160004,335.950012,326.441528,4425200,94.580002,94.800003,91.889999,92.889999,86.213913,1497327,0,0,0
2018-11-19,19,11,2018,Monday,1,335.549988,336.040009,317.200012,320.940002,311.856384,6782800,92.900002,93.959999,92.410004,92.57,85.916901,1260960,0,0,0
2018-11-20,20,11,2018,Tuesday,2,302.100006,322.179993,296.609985,317.700012,308.708099,6875900,91.559998,92.330002,89.959999,91.07,84.524704,1772439,1,0,0
2018-11-21,21,11,2018,Wednesday,3,325.070007,326.890015,315.570007,317.320007,308.338837,4401000,91.980003,93.209999,90.730003,93.169998,86.47377,1473760,0,1,0
2018-11-23,23,11,2018,Friday,5,315.0,317.0,311.869995,312.320007,303.480316,1599400,92.139999,93.639999,92.139999,93.410004,86.696533,901392,0,1,0
2018-11-26,26,11,2018,Monday,1,315.559998,318.589996,310.660004,316.359985,307.405975,3362300,94.199997,95.129997,93.459999,93.580002,86.854309,1261680,1,0,0
2018-11-27,27,11,2018,Tuesday,2,315.279999,318.559998,310.959991,318.029999,309.028717,2946400,93.830002,94.160004,93.160004,93.699997,86.965683,1306476,1,0,0
2018-11-28,28,11,2018,Wednesday,3,325.720001,334.01001,321.730011,333.5,324.060883,6117600,93.959999,94.019997,93.400002,93.5,86.78006,1231357,1,0,0
2018-11-29,29,11,2018,Thursday,4,335.970001,343.230011,334.059998,342.559998,332.864471,5331900,94.0,95.419998,93.970001,94.860001,88.042313,1819874,1,1,0
2018-11-30,30,11,2018,Friday,5,341.940002,347.579987,337.5,346.76001,336.945587,5374000,95.370003,95.459999,94.449997,94.620003,87.819572,1370144,1,0,0
2018-12-03,3,12,2018,Monday,1,364.309998,369.0,356.369995,359.959991,349.771973,6573400,97.269997,97.300003,95.059998,95.699997,88.821945,1246570,0,0,0
2018-12-04,4,12,2018,Tuesday,2,357.0,358.320007,341.73999,342.5,332.806152,5199100,95.389999,95.669998,94.260002,94.269997,87.49472,1354279,0,0,0
2018-12-06,6,12,2018,Thursday,4,329.98999,333.630005,317.299988,331.899994,322.506165,9297400,90.940002,91.050003,88.150002,88.639999,82.269356,2054120,1,0,1
2018-12-07,7,12,2018,Friday,5,332.350006,337.609985,321.390015,323.220001,314.071869,4526300,90.050003,90.860001,89.07,89.07,82.668449,1517734,0,0,0
2018-12-10,10,12,2018,Monday,1,321.269989,327.200012,315.51001,326.350006,317.113251,4400500,88.610001,89.559998,87.389999,87.489998,81.202003,1787443,1,0,0
